
# K N M lim tip_test prob


# 10 puncte
5 10 100 1000 0 10
7 7 100 1000 0 10


# 20 puncte
500 1000 1000000 1600 0 10
500 1000 1000000 1600 1 10
500 1000 1000000 1600 3 10
500 1000 1000000 1600 4 10

# 20 puncte
500 1000 1000000 1400 0 10
500 1000 1000000 1400 1 10
500 1000 1000000 1400 3 10
500 1000 1000000 1400 4 10

# 35 puncte
250 1000 1000000 950 0 10
250 1000 1000000 950 1 90
250 1000 1000000 950 2 70
250 1000 1000000 950 3 80
250 1000 1000000 950 4 10

# 25 puncte
1500 5000 1000000 5100 0 10
1500 5000 1000000 5100 1 80
1500 5000 1000000 5100 2 80
1500 5000 1000000 5100 3 80
1500 5000 1000000 5100 4 10
